hour,addtocart,transaction,view
"0,0",3697,1116,139293
"1,0",3549,1037,135946
"2,0",3306,1010,141388
"3,0",3243,836,146607
"4,0",3113,747,143140
"5,0",2774,747,115907
"6,0",1792,477,74629
"7,0",1023,278,42599
"8,0",538,106,24634
"9,0",394,70,17423
"10,0",303,57,16035
"11,0",387,84,19830
"12,0",643,103,30698
"13,0",1100,215,49725
"14,0",1835,454,79447
"15,0",3214,1137,124590
"16,0",4310,1617,155652
"17,0",5003,2000,172415
"18,0",4945,1903,174130
"19,0",5071,1888,176169
"20,0",5188,1816,180705
"21,0",4861,1828,177395
"22,0",4697,1595,169464
"23,0",3890,1306,153680
