visitorid,time_to_abandon_min,time_bucket,bucket_order
6,"1277,6249166666666",12-24h,6
150,"3,81055",<30min,1
155,"1345,7891333333332",12-24h,6
177,"3,0124333333333335",<30min,1
299,"1275,7824666666668",12-24h,6
302,"0,79545",<30min,1
318,"7,321783333333333",<30min,1
363,"18472,435383333333",>24h,7
379,"0,0",<30min,1
416,"0,0",<30min,1
420,"22,65755",<30min,1
588,"0,0",<30min,1
645,"2761,0806666666667",>24h,7
648,"1528,9332333333334",>24h,7
745,"0,15328333333333333",<30min,1
845,"10051,33135",>24h,7
878,"10,595233333333335",<30min,1
904,"0,0",<30min,1
918,"248,06848333333335",3-6h,4
1117,"0,6204",<30min,1
1130,"13,789449999999999",<30min,1
1159,"0,0",<30min,1
1203,"30,583633333333335",30-60min,2
1212,"5,5961333333333325",<30min,1
1399,"0,00525",<30min,1
1427,"0,46959999999999996",<30min,1
1480,"0,0",<30min,1
1626,"0,0",<30min,1
1634,"2,2836166666666666",<30min,1
1641,"0,0",<30min,1
1654,"81726,99841666667",>24h,7
1658,"0,0",<30min,1
1695,"0,46663333333333334",<30min,1
1715,"1080,6076833333334",12-24h,6
1732,"0,0",<30min,1
1742,"0,0",<30min,1
1920,"13305,444283333334",>24h,7
1936,"7726,538083333333",>24h,7
2004,"155083,786",>24h,7
2090,"0,0",<30min,1
2114,"20314,995033333333",>24h,7
2248,"0,0",<30min,1
2249,"0,0",<30min,1
2277,"0,0",<30min,1
2326,"3066,894533333333",>24h,7
2572,"1,6190833333333332",<30min,1
2603,"1,0783999999999998",<30min,1
2623,"0,0",<30min,1
2656,"17896,524583333336",>24h,7
2732,"0,0",<30min,1
2754,"7,2618833333333335",<30min,1
2943,"0,0",<30min,1
2961,"0,21561666666666665",<30min,1
2978,"29,356116666666665",<30min,1
2985,"2,9303833333333333",<30min,1
3007,"0,0",<30min,1
3050,"2,9318666666666666",<30min,1
3057,"0,0",<30min,1
3172,"0,0",<30min,1
3218,"3,803166666666667",<30min,1
3265,"3,29575",<30min,1
3396,"0,0",<30min,1
3429,"0,00625",<30min,1
3641,"0,0",<30min,1
3827,"2,8196333333333334",<30min,1
3868,"12569,650433333332",>24h,7
4034,"0,0",<30min,1
4167,"0,0",<30min,1
4249,"28,1785",<30min,1
4270,"0,0",<30min,1
4284,"0,0",<30min,1
4317,"0,0",<30min,1
4348,"0,0",<30min,1
4387,"0,0",<30min,1
4419,"0,0",<30min,1
4492,"0,0",<30min,1
4525,"0,0",<30min,1
4543,"0,0",<30min,1
4608,"9,632333333333333",<30min,1
4682,"0,0",<30min,1
4716,"46103,754199999996",>24h,7
4739,"21,633766666666666",<30min,1
4773,"1407,6799500000002",12-24h,6
4809,"285,1694166666667",3-6h,4
4847,"4,55405",<30min,1
4960,"0,6465",<30min,1
5038,"3,641366666666667",<30min,1
5079,"10,239866666666668",<30min,1
5089,"3,277066666666667",<30min,1
5321,"2,6522",<30min,1
5322,"0,3932",<30min,1
5344,"169,65811666666664",1-3h,3
5362,"0,4917666666666667",<30min,1
5398,"0,0",<30min,1
5417,"3,8910666666666667",<30min,1
5427,"465,1281166666667",6-12h,5
5477,"11,562333333333333",<30min,1
5527,"0,0",<30min,1
5537,"0,0",<30min,1
5544,"0,0",<30min,1
5546,"7,044449999999999",<30min,1
5708,"6,6244499999999995",<30min,1
5803,"0,0",<30min,1
5809,"0,2892",<30min,1
5862,"0,0",<30min,1
5973,"0,0",<30min,1
5977,"0,7195166666666667",<30min,1
6125,"0,0",<30min,1
6167,"5,067850000000001",<30min,1
6170,"9288,377750000001",>24h,7
6180,"38185,054299999996",>24h,7
6323,"0,5259833333333334",<30min,1
6330,"0,0",<30min,1
6394,"0,0",<30min,1
6427,"0,0",<30min,1
6516,"0,0",<30min,1
6561,"95988,61103333332",>24h,7
6664,"0,2811333333333333",<30min,1
6670,"4,505366666666666",<30min,1
6780,"0,4742166666666667",<30min,1
6796,"86,89758333333333",1-3h,3
6864,"53464,84035",>24h,7
7030,"9,065766666666667",<30min,1
7166,"4,91655",<30min,1
7236,"587,1825166666666",6-12h,5
7247,"1,3208",<30min,1
7287,"4,2294",<30min,1
7300,"0,0",<30min,1
7315,"0,0",<30min,1
7343,"1,6015666666666666",<30min,1
7355,"0,0",<30min,1
7415,"1,2911499999999998",<30min,1
7429,"0,0",<30min,1
7457,"11867,542733333334",>24h,7
7511,"0,3969666666666667",<30min,1
7543,"0,0",<30min,1
7720,"0,0",<30min,1
7824,"11,161816666666665",<30min,1
7845,"62,005716666666665",1-3h,3
7967,"0,0",<30min,1
8021,"0,0",<30min,1
8031,"0,0",<30min,1
8036,"0,0",<30min,1
8053,"0,0",<30min,1
8078,"0,0",<30min,1
8091,"40,329683333333335",30-60min,2
8197,"0,0",<30min,1
8284,"0,0",<30min,1
8293,"3,6850333333333336",<30min,1
8319,"494,33275",6-12h,5
8359,"31901,056983333332",>24h,7
8393,"11,087066666666667",<30min,1
8483,"2,1927833333333333",<30min,1
8605,"426,71801666666664",6-12h,5
8626,"5,71305",<30min,1
8629,"0,0",<30min,1
8644,"16,377383333333334",<30min,1
8726,"0,0",<30min,1
8780,"0,0",<30min,1
8847,"0,0",<30min,1
8881,"0,0",<30min,1
8930,"0,0",<30min,1
8952,"0,0",<30min,1
8960,"0,0",<30min,1
9010,"0,0",<30min,1
9076,"448,76908333333336",6-12h,5
9112,"0,0",<30min,1
9133,"4,950383333333334",<30min,1
9233,"0,0",<30min,1
9352,"0,0",<30min,1
9385,"0,9237666666666667",<30min,1
9401,"0,0",<30min,1
9455,"8973,578966666666",>24h,7
9473,"0,0",<30min,1
9618,"0,0",<30min,1
9661,"54782,49303333333",>24h,7
9708,"2,937316666666667",<30min,1
9882,"0,0",<30min,1
10025,"2768,920466666667",>24h,7
10113,"0,42269999999999996",<30min,1
10162,"0,03543333333333333",<30min,1
10212,"1480,7847666666667",>24h,7
10252,"0,0",<30min,1
10253,"0,13798333333333332",<30min,1
10265,"8523,264000000001",>24h,7
10272,"9561,755733333333",>24h,7
10306,"36,873783333333336",30-60min,2
10369,"7387,080366666666",>24h,7
10375,"1,09865",<30min,1
10378,"1,27025",<30min,1
10387,"5943,448466666667",>24h,7
10397,"61,802533333333336",1-3h,3
10423,"0,8917166666666667",<30min,1
10520,"18,422533333333334",<30min,1
10554,"13890,132749999999",>24h,7
10583,"228,91706666666667",3-6h,4
10666,"4,713283333333334",<30min,1
10670,"0,22633333333333333",<30min,1
10677,"2,01665",<30min,1
10857,"28,048683333333333",<30min,1
10867,"65,75233333333333",1-3h,3
10871,"0,0",<30min,1
10884,"23,52205",<30min,1
10893,"0,0",<30min,1
11055,"10,2921",<30min,1
11061,"0,00105",<30min,1
11087,"18627,286066666667",>24h,7
11187,"0,0",<30min,1
11193,"0,12956666666666666",<30min,1
11261,"0,0",<30min,1
11363,"0,0",<30min,1
11392,"10331,542866666667",>24h,7
11523,"24461,15655",>24h,7
11530,"1,3425666666666667",<30min,1
11600,"2,55635",<30min,1
11619,"0,0",<30min,1
11761,"3551,3289833333333",>24h,7
11836,"0,0",<30min,1
11839,"0,0",<30min,1
11986,"12276,67595",>24h,7
12009,"68,73025",1-3h,3
12017,"10,6892",<30min,1
12153,"0,0",<30min,1
12161,"46,25696666666667",30-60min,2
12266,"16,9883",<30min,1
12272,"0,37289999999999995",<30min,1
12292,"0,0",<30min,1
12305,"0,0",<30min,1
12312,"0,0",<30min,1
12379,"2,717233333333333",<30min,1
12416,"0,48641666666666666",<30min,1
12422,"0,0",<30min,1
12446,"0,0",<30min,1
12519,"0,0",<30min,1
12523,"0,0",<30min,1
12529,"33,99015",30-60min,2
12560,"1,4534999999999998",<30min,1
12638,"6,95445",<30min,1
12722,"0,0",<30min,1
12809,"71973,54163333333",>24h,7
12982,"6922,240000000001",>24h,7
13045,"0,0",<30min,1
13123,"11,676283333333334",<30min,1
13136,"11,223133333333333",<30min,1
13147,"10832,058783333334",>24h,7
13271,"0,0",<30min,1
13410,"2671,0319499999996",>24h,7
13467,"0,0",<30min,1
13486,"27,291249999999998",<30min,1
13611,"0,0",<30min,1
13655,"0,0",<30min,1
13668,"2810,5836333333336",>24h,7
13694,"0,6538",<30min,1
13749,"0,0",<30min,1
13787,"0,0",<30min,1
13916,"170,84968333333333",1-3h,3
13957,"0,0",<30min,1
13997,"16,65155",<30min,1
14114,"6,1724",<30min,1
14198,"0,0",<30min,1
14324,"0,0",<30min,1
14327,"0,0",<30min,1
14362,"0,0",<30min,1
14495,"59,096016666666664",30-60min,2
14505,"0,0",<30min,1
14540,"1413,5463333333332",12-24h,6
14545,"15,442466666666666",<30min,1
14559,"19,63383333333333",<30min,1
14647,"0,0",<30min,1
14673,"4,2286166666666665",<30min,1
14682,"1,01505",<30min,1
14704,"0,0",<30min,1
14708,"0,0",<30min,1
14710,"0,0",<30min,1
14772,"4,8330166666666665",<30min,1
14786,"20,38305",<30min,1
14802,"0,0",<30min,1
14864,"0,45785",<30min,1
